Agency,City,County,State,Technology,Vendor,Summary,Link 1,Link 2
Oakland Police Department,Oakland,Alameda,CA,Automated License Plate Readers,Flock Safety,Documented deployment of fixed automated license plate readers across city intersections.,https://example.org/evidence/oakland-alpr,https://example.org/records/oakland-1
San Francisco Police Department,San Francisco,,CA,Face Recognition,Clearview AI,Reported access to a third-party facial recognition service for investigations.,https://example.org/evidence/sf-face,
Los Angeles Police Department,Los Angeles,Los Angeles,CA,Predictive Policing,Palantir,Documented use of a data analytics platform for location-based crime forecasting.,https://example.org/evidence/lapd-predictive,https://example.org/records/lapd-2
San Diego Police Department,San Diego,,CA,Body-worn Cameras,Axon,Body-worn camera program documented through public procurement records.,https://example.org/evidence/sd-bwc,
Sacramento Police Department,Sacramento,,CA,Drones / UAS,DJI,Unmanned aerial system program documented for tactical and search operations.,https://example.org/evidence/sac-uas,
San Jose Police Department,San Jose,,CA,Gunshot Detection,ShotSpotter,Acoustic gunshot detection sensors documented in select neighborhoods.,https://example.org/evidence/sj-gunshot,
New York Police Department,New York,,NY,Real-Time Crime Center,Microsoft,Real-time crime center integrating camera and sensor feeds documented in public reporting.,https://example.org/evidence/nypd-rtcc,https://example.org/records/nypd-3
Buffalo Police Department,Buffalo,,NY,Automated License Plate Readers,Vigilant Solutions,Mobile and fixed license plate readers documented through agency disclosures.,https://example.org/evidence/buffalo-alpr,
Rochester Police Department,Rochester,,NY,Body-worn Cameras,Axon,Body-worn camera deployment documented in city council materials.,https://example.org/evidence/rochester-bwc,
Chicago Police Department,Chicago,Cook,IL,Gunshot Detection,ShotSpotter,Acoustic gunshot detection coverage documented across multiple districts.,https://example.org/evidence/chicago-gunshot,https://example.org/records/cpd-4
Aurora Police Department,Aurora,,IL,Drones / UAS,DJI,Drone program documented through equipment acquisition records.,https://example.org/evidence/aurora-uas,
Houston Police Department,Houston,Harris,TX,Video Analytics,Motorola Solutions,Camera network with video analytics documented in budget filings.,https://example.org/evidence/houston-video,
Dallas Police Department,Dallas,,TX,Automated License Plate Readers,Flock Safety,Fixed automated license plate readers documented through vendor agreements.,https://example.org/evidence/dallas-alpr,
Austin Police Department,Austin,,TX,Body-worn Cameras,Axon,Body-worn camera program documented in public transparency reports.,https://example.org/evidence/austin-bwc,
San Antonio Police Department,San Antonio,,TX,Cell-site Simulators,Harris Corporation,Cell-site simulator capability referenced in procurement documentation.,https://example.org/evidence/sa-csimulator,
Fort Worth Police Department,Fort Worth,,TX,Drones / UAS,DJI,Unmanned aerial system program documented in department briefings.,https://example.org/evidence/fw-uas,
Phoenix Police Department,Phoenix,Maricopa,AZ,Face Recognition,Motorola Solutions,Facial recognition capability documented through regional information sharing.,https://example.org/evidence/phoenix-face,
Tucson Police Department,Tucson,,AZ,Automated License Plate Readers,Vigilant Solutions,License plate reader data sharing documented in agency policy.,https://example.org/evidence/tucson-alpr,
Mesa Police Department,Mesa,,AZ,Body-worn Cameras,Axon,Body-worn camera deployment documented in city records.,https://example.org/evidence/mesa-bwc,
Seattle Police Department,Seattle,King,WA,Camera Registry,Ring,Community camera registry program documented in city surveillance reviews.,https://example.org/evidence/seattle-registry,
Spokane Police Department,Spokane,,WA,Automated License Plate Readers,Flock Safety,Automated license plate readers documented through public contract data.,https://example.org/evidence/spokane-alpr,
Tacoma Police Department,Tacoma,,WA,Drones / UAS,DJI,Drone deployment documented in agency operational summaries.,https://example.org/evidence/tacoma-uas,
Portland Police Bureau,Portland,,OR,Body-worn Cameras,Axon,Body-worn camera program documented through city budget records.,https://example.org/evidence/portland-bwc,
Eugene Police Department,Eugene,,OR,Gunshot Detection,ShotSpotter,Gunshot detection pilot documented in public meeting minutes.,https://example.org/evidence/eugene-gunshot,
Denver Police Department,Denver,,CO,Real-Time Crime Center,Motorola Solutions,Real-time crime center documented through agency presentations.,https://example.org/evidence/denver-rtcc,
Colorado Springs Police Department,Colorado Springs,,CO,Automated License Plate Readers,Flock Safety,Fixed license plate readers documented in procurement records.,https://example.org/evidence/cosprings-alpr,
Boston Police Department,Boston,,MA,Face Recognition,Clearview AI,Facial recognition access reported through public disclosures.,https://example.org/evidence/boston-face,
Worcester Police Department,Worcester,,MA,Body-worn Cameras,Axon,Body-worn camera deployment documented in city council records.,https://example.org/evidence/worcester-bwc,
Detroit Police Department,Detroit,,MI,Face Recognition,DataWorks Plus,Facial recognition system documented through public oversight reporting.,https://example.org/evidence/detroit-face,https://example.org/records/dpd-5
Grand Rapids Police Department,Grand Rapids,,MI,Automated License Plate Readers,Vigilant Solutions,License plate readers documented in agency policy materials.,https://example.org/evidence/gr-alpr,
Atlanta Police Department,Atlanta,Fulton,GA,Video Analytics,Motorola Solutions,Integrated camera network documented through city safety initiatives.,https://example.org/evidence/atlanta-video,
Savannah Police Department,Savannah,,GA,Drones / UAS,DJI,Drone program documented in department equipment records.,https://example.org/evidence/savannah-uas,
Miami Police Department,Miami,Miami-Dade,FL,Automated License Plate Readers,Flock Safety,Automated license plate readers documented through vendor agreements.,https://example.org/evidence/miami-alpr,
Orlando Police Department,Orlando,,FL,Face Recognition,Amazon,Facial recognition pilot documented through public records reporting.,https://example.org/evidence/orlando-face,
Tampa Police Department,Tampa,,FL,Body-worn Cameras,Axon,Body-worn camera program documented in city budget filings.,https://example.org/evidence/tampa-bwc,
Minneapolis Police Department,Minneapolis,,MN,Gunshot Detection,ShotSpotter,Acoustic gunshot detection documented across several precincts.,https://example.org/evidence/minneapolis-gunshot,
Philadelphia Police Department,Philadelphia,,PA,Real-Time Crime Center,Motorola Solutions,Real-time crime center documented through public oversight materials.,https://example.org/evidence/philly-rtcc,
Pittsburgh Bureau of Police,Pittsburgh,,PA,Automated License Plate Readers,Vigilant Solutions,License plate reader deployment documented in agency disclosures.,https://example.org/evidence/pittsburgh-alpr,
Baltimore Police Department,Baltimore,,MD,Aerial Surveillance,Persistent Surveillance Systems,Aerial surveillance pilot documented through public litigation records.,https://example.org/evidence/baltimore-aerial,https://example.org/records/bpd-6
Nashville Police Department,Nashville,,TN,Camera Registry,Ring,Community camera registry documented in city program materials.,https://example.org/evidence/nashville-registry,
Memphis Police Department,Memphis,,TN,Body-worn Cameras,Axon,Body-worn camera program documented in public transparency records.,https://example.org/evidence/memphis-bwc,
New Orleans Police Department,New Orleans,,LA,Face Recognition,Palantir,Facial recognition access documented through public oversight reporting.,https://example.org/evidence/nola-face,
Charlotte-Mecklenburg Police,Charlotte,,NC,Automated License Plate Readers,Flock Safety,Automated license plate readers documented in procurement filings.,https://example.org/evidence/charlotte-alpr,
Columbus Division of Police,Columbus,,OH,Drones / UAS,DJI,Drone program documented through agency operational reports.,https://example.org/evidence/columbus-uas,
Cleveland Division of Police,Cleveland,,OH,Gunshot Detection,ShotSpotter,Gunshot detection sensors documented in select neighborhoods.,https://example.org/evidence/cleveland-gunshot,
Indianapolis Metro Police,Indianapolis,,IN,Body-worn Cameras,Axon,Body-worn camera deployment documented in city budget records.,https://example.org/evidence/indy-bwc,
Las Vegas Metro Police,Las Vegas,,NV,Face Recognition,Motorola Solutions,Facial recognition capability documented through regional sharing agreements.,https://example.org/evidence/lvmpd-face,
Honolulu Police Department,Honolulu,,HI,Automated License Plate Readers,Flock Safety,Automated license plate readers documented through public contract data.,https://example.org/evidence/honolulu-alpr,
